Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,200.770004,201.679993,199.75,200.75,175.625137,151266000
2014-09-18,201.360001,201.850006,201.100006,201.820007,176.561218,94990000
2014-09-19,201.520004,201.899994,200.289993,200.699997,176.4021,121649000
2014-09-22,200.350006,200.380005,198.729996,199.149994,175.039764,125553000
2014-09-23,198.429993,199.259995,197.949997,198.009995,174.037811,111393000
2014-09-24,198.039993,199.690002,197.520004,199.559998,175.400162,107276000
2014-09-25,199.039993,199.050003,196.270004,196.339996,172.569962,150300000
2014-09-26,196.699997,198.389999,196.419998,197.899994,173.941116,103547000
2014-09-29,196.199997,197.889999,196.050003,197.539993,173.624664,95112000
2014-09-30,197.690002,198.300003,196.610001,197.020004,173.167679,131302000
2014-10-01,196.699997,196.770004,193.910004,194.350006,170.820847,177798000
2014-10-02,194.179993,195.059998,192.350006,194.380005,170.84726,157285000
2014-10-03,195.679993,196.940002,195.080002,196.520004,172.72818,121569000
2014-10-06,197.339996,197.600006,195.580002,196.289993,172.526001,104778000
2014-10-07,195.279999,195.720001,193.220001,193.259995,169.862823,147913000
2014-10-08,193.369995,196.919998,192.360001,196.639999,172.833618,186461000
2014-10-09,196.330002,196.600006,192.580002,192.740005,169.405823,210705000
2014-10-10,192.690002,193.649994,190.490005,190.539993,167.472168,221909000
2014-10-13,190.460007,191.149994,187.300003,187.410004,164.721115,230939000
2014-10-14,188.419998,189.820007,187.039993,187.699997,164.976013,215847000
2014-10-15,185.160004,187.690002,181.919998,186.429993,163.859711,380715000
2014-10-16,183.059998,187.580002,182.889999,186.270004,163.719116,270391000
2014-10-17,188.419998,189.75,187.619995,188.470001,165.652756,214625000
2014-10-20,188.130005,190.449997,188.070007,190.300003,167.261154,130011000
2014-10-21,191.679993,194.199997,191.479996,194.070007,170.574814,154949000
2014-10-22,194.410004,194.910004,192.610001,192.690002,169.361908,151822000
2014-10-23,194.619995,196.199997,194.259995,194.929993,171.330673,154944000
2014-10-24,195.25,196.490005,194.490005,196.429993,172.649094,117927000
2014-10-27,195.729996,196.449997,195.029999,196.160004,172.411758,82954000
2014-10-28,196.820007,198.419998,196.729996,198.410004,174.389389,106736000
2014-10-29,198.550003,199.119995,196.800003,198.110001,174.125671,142557000
2014-10-30,197.580002,199.949997,197.399994,199.380005,175.241943,113330000
2014-10-31,201.779999,201.820007,200.770004,201.660004,177.245895,146903000
2014-11-03,201.919998,202.449997,201.309998,201.770004,177.342575,93600000
2014-11-04,201.229996,201.600006,200.059998,201.070007,176.727371,93343000
2014-11-05,202.539993,202.589996,201.449997,202.339996,177.843613,91709000
2014-11-06,202.389999,203.259995,201.639999,203.149994,178.555496,107089000
