Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,61.270000,61.480000,60.150002,61.330002,52.579205,63879600
2010-07-20,60.450001,62.470001,60.209999,62.360001,53.462223,71430700
2010-07-21,62.849998,62.970001,61.099998,61.240002,52.502029,68456600
2010-07-22,62.180000,63.660000,62.169998,63.419998,54.370987,81000700
2010-07-23,63.110001,65.110001,62.939999,64.980003,55.708416,73916800
2010-07-26,65.260002,66.519997,64.919998,66.459999,56.977234,66248300
2010-07-27,67.059998,67.269997,65.980003,66.220001,56.771484,84127100
2010-07-28,66.129997,66.430000,64.779999,65.150002,55.854137,59705100
2010-07-29,65.709999,65.989998,63.950001,64.980003,55.708416,63214400
2010-07-30,64.099998,65.610001,63.820000,65.019997,55.742680,67453000
2010-08-02,66.169998,66.540001,65.589996,66.150002,56.711452,49896600
2010-08-03,65.930000,66.529999,65.089996,65.620003,56.257088,51145700
2010-08-04,65.980003,66.480003,65.709999,66.309998,56.848625,40817400
2010-08-05,65.660004,66.209999,65.459999,65.529999,56.179909,37991000
2010-08-06,64.449997,65.410004,63.860001,65.139999,55.845570,62483200
2010-08-09,65.620003,66.110001,64.849998,65.860001,56.462845,35100700
2010-08-10,65.209999,65.410004,64.129997,64.620003,55.399769,59841700
2010-08-11,63.330002,63.330002,61.910000,62.080002,53.222183,87392600
2010-08-12,60.849998,62.150002,60.759998,61.770000,52.956413,63300200
2010-08-13,61.500000,61.680000,60.970001,61.070000,52.356304,68238000
2010-08-16,60.639999,61.919998,60.380001,61.560001,52.776375,51371000
2010-08-17,62.220001,63.150002,61.860001,62.619999,53.685131,54593200
2010-08-18,62.549999,63.430000,61.939999,62.810001,53.848022,61766600
2010-08-19,62.590000,62.849998,60.939999,61.090000,52.373436,89236900
2010-08-20,60.869999,61.189999,60.139999,61.150002,52.424885,64085700
2010-08-23,61.599998,61.919998,60.279999,60.320000,51.713314,55423700
2010-08-24,59.360001,60.320000,58.799999,59.630001,51.121761,78875300
2010-08-25,59.139999,60.680000,58.889999,60.529999,51.893318,64025300
2010-08-26,60.750000,61.279999,59.860001,60.080002,51.507553,74569900
2010-08-27,60.770000,61.799999,59.560001,61.650002,52.853535,72003600
2010-08-30,61.349998,61.660000,60.270000,60.299999,51.696156,42401800
2010-08-31,60.150002,60.910000,59.680000,60.180000,51.593273,60625100
2010-09-01,61.230000,62.549999,61.020000,62.509998,53.590836,62585200
2010-09-02,62.490002,63.380001,62.270000,63.200001,54.182369,45824200
2010-09-03,64.160004,64.529999,63.610001,64.330002,55.151154,51986300
